model,phrase,gold,hit,top5
roberta-large,Accommodative [MASK] policy,monetary,False,immigration|visa|migration|tax|foreign
tapt,Long-term [MASK] rates,interest,True,interest|inflation|treasury|unemployment|forward
tapt,Macroprudential [MASK] measures,policy,True,stability|policy|support|health|performance
tapt,Main [MASK] operation,refinancing,False,tenance|economic|business|financial|stream
tapt,Marginal [MASK] facility,lending,False,credit|unemployment|balance|growth|inflation
tapt,Monetary [MASK] committee,policy,True,policy|policy|policies|affairs|policy
tapt,Monetary [MASK] framework,policy,True,policy|policy|policy|policies|strategy
tapt,Monetary [MASK] stance,policy,True,policy|policy|policy|easing|policies
tapt,Monetary [MASK] transmission,policy,True,policy|policy|policy|policies|monetary
tapt,Natural [MASK] of interest,rate,False,rates|conflicts|sources|changes|communities
tapt,Natural [MASK] of unemployment,rate,True,rate|rates|ization|reduction|sources
tapt,Negative [MASK] rates,interest,True,interest|inflation|growth|real|exchange
tapt,Net [MASK] debt,external,True,external|domestic|foreign|mortgage|municipal
tapt,Neutral [MASK] policy,monetary,True,monetary|monetary|interest|fiscal|economic
tapt,Nominal [MASK] rate,exchange,False,unemployment|interest|inflation|savings|unemployment
tapt,Non-accelerating [MASK] rate of unemployment,inflation,False,structural|civilian|trend|normal|underlying
tapt,Non-bank [MASK] institution,financial,True,financial|lending|monetary|financial|credit
tapt,Non-bank [MASK] intermediation,credit,True,financial|monetary|credit|bank|cash
tapt,Open [MASK] operations,market,True,market|market|ings|house|ended
tapt,Overnight [MASK] facility,deposit,False,repo|lending|borrowing|loan|funding
tapt,Overnight [MASK] swap,index,True,indexed|index|inflation|repo|mortgage
tapt,Pegged [MASK] rate,exchange,True,interest|exchange|funds|inflation|funds
tapt,Producer [MASK] index,price,True,price|prices|cost|inflation|price
tapt,Purchasing [MASK] parity,power,True,power|power|price|cost|tax
tapt,Real [MASK] exchange rate,effective,True,foreign|currency|gdp|effective|market
tapt,Real [MASK] rate,exchange,False,unemployment|interest|growth|gdp|vacancy
tapt,Safe [MASK] assets,haven,True,haven|domestic|foreign|investment|liquid
tapt,Secured [MASK] financing rate,overnight,True,mortgage|interest|overnight|market|debt
tapt,Short-term [MASK] rates,interest,True,interest|treasury|mortgage|interest|inflation
tapt,Sovereign [MASK] crisis,debt,True,debt|financial|credit|currency|loan
tapt,Sovereign [MASK] fund,wealth,True,wealth|debt|reserve|rescue|guaranteed
tapt,Special [MASK] Rights,drawing,True,voting|property|membership|religious|drawing
tapt,Special [MASK] vehicle,purpose,True,purpose|purpose|ized|interest|ist
tapt,Systemically [MASK] financial institution,important,True,important|significant|important|important|critical
tapt,Targeted [MASK] refinancing operations,longer,False,mortgage|debt|principal|domestic|loan
tapt,Terms [MASK] trade,of,True,of|for|and|on|about
tapt,Tier [MASK] capital,1,True,1|2|one|i|two
tapt,Tight [MASK] policy,monetary,True,monetary|ening|fiscal|monetary|money
tapt,Too [MASK] to fail,big,True,big|good|large|perfect|great
tapt,Unconventional [MASK] policy,monetary,True,monetary|fiscal|growth|economic|tax
tapt,Value [MASK] Risk,at,True,of|and|at|added|for
tapt,Velocity [MASK] money,of,True,of|and|for|in|on
tapt,Yield [MASK] control,curve,False,under|inflation|s|price|in
tapt,Zero [MASK] bound,lower,True,lower|upper|inflation|error|supply
dapt-global+tapt,Accommodative [MASK] policy,monetary,True,monetary|fiscal|monetary|financial|inflation
dapt-global+tapt,Asset [MASK] program,purchase,True,purchase|purchases|purchasing|purchase|sales
dapt-global+tapt,Balance [MASK] payments,of,True,of|sheet|sheet|mortgage|card
dapt-global+tapt,Bank [MASK] International Settlements,for,True,for|of|on|for|for
dapt-global+tapt,Basel [MASK] on Banking Supervision,committee,True,accord|committee|ii|principles|i
dapt-global+tapt,Bretton [MASK] system,woods,False,'s|curve|monetary|payroll|tax
dapt-global+tapt,Capital [MASK] ratio,adequacy,False,leverage|payout|shortfall|retention|adequ
dapt-global+tapt,Central [MASK] (CCP),counterparties,False,tendency|committee|projections|bank|potential
dapt-global+tapt,Central [MASK] balance sheet,bank,True,bank|bank|banks|banks|banking
dapt-global+tapt,Central [MASK] digital currency,bank,True,bank|banks|banking|european|and
dapt-global+tapt,Collateralized [MASK] obligation,debt,True,loan|debt|mortgage|securities|general
dapt-global+tapt,Committee [MASK] Payments and Market Infrastructure,on,True,"on|on|,|:|of"
dapt-global+tapt,Commodity [MASK] index,price,True,price|prices|price|inflation|pricing
dapt-global+tapt,Contractionary [MASK] policy,monetary,True,monetary|fiscal|monetary|trade|growth
dapt-global+tapt,Core [MASK] price index,consumer,True,consumer|goods|cpi|pc|producer
dapt-global+tapt,Countercyclical [MASK] buffer,capital,False,inflation|fiscal|monetary|policy|reserve
dapt-global+tapt,Credit [MASK] swap,default,True,default|risk|default|default|index
dapt-global+tapt,Cross-Currency [MASK] Swaps,basis,False,interest|bond|equity|price|credit
dapt-global+tapt,Currency [MASK] of reserves,composition,False,and|balances|value|costs|cost
dapt-global+tapt,Decentralized [MASK] (DeFi),finance,True,finance|funds|funding|finance|identity
dapt-global+tapt,Distributed [MASK] technology,ledger,True,ledger|information|delivery|communications|distribution
dapt-global+tapt,Domestic [MASK] important bank,systemically,False,demand|and|economy|most|accounts
dapt-global+tapt,Effective [MASK] bound,lower,True,lower|zero|upper|higher|low
dapt-global+tapt,Effective [MASK] funds rate,federal,True,federal|federal|real|nominal|fed
dapt-global+tapt,Effective [MASK] rate,exchange,False,unemployment|tax|discount|funds|interest
dapt-global+tapt,Efficient [MASK] hypothesis,market,True,policy|market|markets|trade|pricing
dapt-global+tapt,Emerging [MASK] and developing economies,market,True,markets|market|asian|markets|market
dapt-global+tapt,Emerging [MASK] economies,market,True,market|market|asian|markets|foreign
dapt-global+tapt,European [MASK] Bank,central,True,central|central|investment|stability|central
dapt-global+tapt,Exchange [MASK] pass-through,rate,True,rate|rate|value|cost|risk
dapt-global+tapt,Exchange [MASK] regime,rate,True,rate|reserve|market|policy|trading
dapt-global+tapt,Expansionary [MASK] policy,monetary,True,monetary|fiscal|economic|trade|monetary
dapt-global+tapt,Financial [MASK] board,stability,True,stability|stability|services|conditions|markets
dapt-global+tapt,Fixed [MASK] rate,exchange,True,exchange|interest|inflation|mortgage|funds
dapt-global+tapt,Floating [MASK] rate,exchange,True,interest|funds|exchange|inflation|money
dapt-global+tapt,Foreign [MASK] intervention,exchange,False,policy|economic|fiscal|monetary|direct
dapt-global+tapt,Foreign [MASK] investment,direct,True,portfolio|direct|fixed|residential|equity
dapt-global+tapt,Foreign [MASK] reserves,exchange,True,exchange|currency|excess|domestic|national
dapt-global+tapt,Global [MASK] important banks,systemically,False,most|and|ally|ically|most
dapt-global+tapt,Gross [MASK] debt,external,True,domestic|mortgage|national|external|household
dapt-global+tapt,Gross [MASK] product,domestic,True,domestic|domestic|farm|final|foreign
dapt-global+tapt,Interbank [MASK] rate,offered,True,interest|offered|lending|offer|funds
dapt-global+tapt,Interest [MASK] on deposit facility,rate,True,rate|rates|s|payments|paid
dapt-global+tapt,Interest [MASK] on excess reserves,rate,True,rates|payments|s|paid|rate
dapt-global+tapt,Interest [MASK] parity,rate,True,rate|rates|ing|on|rate
dapt-global+tapt,Interest [MASK] risk,rate,True,rate|rates|ing|rate|rate
dapt-global+tapt,Interest [MASK] swap,rate,True,rate|rates|bearing|on|income
dapt-global+tapt,Interest [MASK] targeting,rate,True,rate|rates|ing|rate|inflation
dapt-global+tapt,International [MASK] Fund,monetary,True,monetary|development|wildlife|reserve|investment
dapt-global+tapt,International [MASK] of Insurance Supervisors,association,True,association|conference|organization|committee|federation
dapt-global+tapt,International [MASK] position,investment,False,financial|growth|economic|monetary|trade
dapt-global+tapt,Inverted [MASK] curve,yield,True,yield|phillips|money|yields|demand
dapt-global+tapt,Labor [MASK] participation rate,force,True,force|market|force|force|participation
dapt-global+tapt,Lender [MASK] last resort,of,True,"of|,|'s|at|the"
dapt-global+tapt,Liquidity [MASK] test,stress,True,stress|sensitivity|conditions|risk|assessment
dapt-global+tapt,London [MASK] Offered Rate,interbank,False,exchange|legal|bank|national|bank
dapt-global+tapt,Long-term [MASK] operation,refinancing,False,inflation|funding|rate|market|debt
dapt-global+tapt,Long-term [MASK] rates,interest,True,interest|forward|inflation|mortgage|real
dapt-global+tapt,Macroprudential [MASK] measures,policy,True,policy|stability|support|easing|tightening
dapt-global+tapt,Main [MASK] operation,refinancing,False,tenance|market|economic|reserve|business
dapt-global+tapt,Marginal [MASK] facility,lending,True,credit|unemployment|inflation|growth|lending
dapt-global+tapt,Monetary [MASK] committee,policy,True,policy|policy|affairs|policies|affairs
dapt-global+tapt,Monetary [MASK] framework,policy,True,policy|policy|targeting|policy|policies
dapt-global+tapt,Monetary [MASK] stance,policy,True,policy|policy|easing|policy|policies
dapt-global+tapt,Monetary [MASK] transmission,policy,True,policy|policy|inflation|easing|monetary
dapt-global+tapt,Natural [MASK] of interest,rate,True,rates|rate|balances|sources|differences
dapt-global+tapt,Natural [MASK] of unemployment,rate,True,rate|rates|ization|levels|sources
dapt-global+tapt,Negative [MASK] rates,interest,True,interest|inflation|real|growth|exchange
dapt-global+tapt,Net [MASK] debt,external,True,external|domestic|foreign|mortgage|household
dapt-global+tapt,Neutral [MASK] policy,monetary,True,monetary|monetary|interest|fiscal|economic
dapt-global+tapt,Nominal [MASK] rate,exchange,False,unemployment|interest|savings|saving|inflation
dapt-global+tapt,Non-accelerating [MASK] rate of unemployment,inflation,False,civilian|trend|structural|average|the
dapt-global+tapt,Non-bank [MASK] institution,financial,True,financial|financial|holding|monetary|private
dapt-global+tapt,Non-bank [MASK] intermediation,credit,True,financial|credit|monetary|mortgage|business
dapt-global+tapt,Open [MASK] operations,market,True,market|market|market|markets|ended
dapt-global+tapt,Overnight [MASK] facility,deposit,True,loan|deposit|lending|repo|loans
dapt-global+tapt,Overnight [MASK] swap,index,True,index|inflation|mortgage|indexed|default
dapt-global+tapt,Pegged [MASK] rate,exchange,True,interest|exchange|funds|inflation|unemployment
dapt-global+tapt,Producer [MASK] index,price,True,price|prices|cost|price|inflation
dapt-global+tapt,Purchasing [MASK] parity,power,True,power|power|price|cost|tax
dapt-global+tapt,Real [MASK] exchange rate,effective,True,foreign|effective|domestic|gdp|yugoslav
dapt-global+tapt,Real [MASK] rate,exchange,False,unemployment|interest|growth|funds|gdp
dapt-global+tapt,Safe [MASK] assets,haven,True,domestic|haven|foreign|financial|haven
dapt-global+tapt,Secured [MASK] financing rate,overnight,True,mortgage|debt|corporate|interest|overnight
dapt-global+tapt,Short-term [MASK] rates,interest,True,interest|mortgage|interest|inflation|sovereign
dapt-global+tapt,Sovereign [MASK] crisis,debt,True,debt|financial|loan|bond|currency
dapt-global+tapt,Sovereign [MASK] fund,wealth,True,wealth|debt|stability|investment|rescue
dapt-global+tapt,Special [MASK] Rights,drawing,False,voting|privacy|membership|property|franchise
dapt-global+tapt,Special [MASK] vehicle,purpose,False,circumstances|considerations|economic|interest|tax
dapt-global+tapt,Systemically [MASK] financial institution,important,True,important|important|significant|critical|important
dapt-global+tapt,Targeted [MASK] refinancing operations,longer,False,mortgage|principal|debt|loan|securities
dapt-global+tapt,Terms [MASK] trade,of,True,of|for|and|or|on
dapt-global+tapt,Tier [MASK] capital,1,True,1|one|2|i|two
dapt-global+tapt,Tight [MASK] policy,monetary,True,monetary|fiscal|ening|monetary|ened
dapt-global+tapt,Too [MASK] to fail,big,True,big|large|good|great|important
dapt-global+tapt,Unconventional [MASK] policy,monetary,True,monetary|fiscal|growth|tax|economic
dapt-global+tapt,Value [MASK] Risk,at,True,of|and|at|added|from
dapt-global+tapt,Velocity [MASK] money,of,True,of|and|in|for|on
dapt-global+tapt,Yield [MASK] control,curve,True,curve|s|curve|under|inflation
dapt-global+tapt,Zero [MASK] bound,lower,True,lower|inflation|upper|effective|deflation
