model,phrase,gold,hit,top5
flang-roberta,Negative [MASK] rates,interest,True,interest|mortgage|growth|repo|deposit
flang-roberta,Net [MASK] debt,external,False,outstanding|public|of|corporate|government
flang-roberta,Neutral [MASK] policy,monetary,True,monetary|fiscal|economic|on|rate
flang-roberta,Nominal [MASK] rate,exchange,True,interest|exchange|inflation|discount|interest
flang-roberta,Non-accelerating [MASK] rate of unemployment,inflation,False,annual|u.s.|monthly|national|overall
flang-roberta,Non-bank [MASK] institution,financial,True,financial|lending|banking|funding|loan
flang-roberta,Non-bank [MASK] intermediation,credit,True,loan|credit|debt|cash|bank
flang-roberta,Open [MASK] operations,market,True,market|market|pit|ended|to
flang-roberta,Overnight [MASK] facility,deposit,True,loan|credit|lending|deposit|cash
flang-roberta,Overnight [MASK] swap,index,True,index|reverse|basis|bond|options
flang-roberta,Pegged [MASK] rate,exchange,False,interest|growth|inflation|unemployment|jobless
flang-roberta,Producer [MASK] index,price,True,price|prices|price|prices|expectations
flang-roberta,Purchasing [MASK] parity,power,False,managers|(@@|manag@@|in|ind@@
flang-roberta,Real [MASK] exchange rate,effective,False,foreign|time|european|term|interest
flang-roberta,Real [MASK] rate,exchange,True,interest|deposit|exchange|est@@|unemployment
flang-roberta,Safe [MASK] assets,haven,True,haven|equity|investment|investment|bank
flang-roberta,Secured [MASK] financing rate,overnight,False,re@@|re@@|re@@|mortgage|secured
flang-roberta,Short-term [MASK] rates,interest,True,interest|growth|inflation|deposit|mortgage
flang-roberta,Sovereign [MASK] crisis,debt,True,debt|wealth|credit|rating|financial
flang-roberta,Sovereign [MASK] fund,wealth,True,wealth|wealth|mutual|hedge|investment
flang-roberta,Special [MASK] Rights,drawing,True,drawing|claims|amendment|olympic|trading
flang-roberta,Special [MASK] vehicle,purpose,True,operations|purpose|forces|assistance|investigation
flang-roberta,Systemically [MASK] financial institution,important,True,important|significant|profitable|sound|distressed
flang-roberta,Targeted [MASK] refinancing operations,longer,False,loan|mortgage|and|debt|credit
flang-roberta,Terms [MASK] trade,of,True,of|and|include|to|may
flang-roberta,Tier [MASK] capital,1,True,1|2|one|one|3
flang-roberta,Tight [MASK] policy,monetary,True,monetary|fiscal|budget|economic|fed
flang-roberta,Too [MASK] to fail,big,True,big|big@@|good|big|small
flang-roberta,Unconventional [MASK] policy,monetary,True,monetary|fiscal|economic|foreign|budget
flang-roberta,Value [MASK] Risk,at,True,and|over|trumps|before|at
flang-roberta,Velocity [MASK] money,of,False,inc.|ltd.|manages|market@@|loses
flang-roberta,Yield [MASK] control,curve,False,under|to|and|in|of
flang-roberta,Zero [MASK] bound,lower,False,is|re@@|was|points|west@@
